2023-01-10 21:16:56 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:16:59 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:16:59 INFO  CustomListener:17 - Test execution has started for: loginVerify
2023-01-10 21:16:59 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:16:59 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:16:59 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (eb40c742958c4efb158bd5d85a0e461d)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:16:59 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (eb40c742958c4efb158bd5d85a0e461d)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:16:59 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:16:59 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:16:59 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (eb40c742958c4efb158bd5d85a0e461d)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:00 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (eb40c742958c4efb158bd5d85a0e461d)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-10 21:17:00 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-10 21:17:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-10 21:17:00 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-10 21:17:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
